"","V1","V2","V3","V4","V5","Field Goals","Field Goals","Field Goals","Field Goals","Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","Season"
"1","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2021-2022"
"702","Andre Roberson","OKC","24","18","18","100%","2.2","4.4","50.0","57.5","53.8%","1.6","2.4","65.1","46.3%","0.7","2.1","32.4","2015-2016"
"703","Kevin Martin","SAS","33","5","4","100%","1.6","3.8","42.1","52.6","57.9%","0.8","2.2","36.4","42.1%","0.8","1.6","50.0","2015-2016"
"704","Norman Powell","TOR","23","18","15","100%","1.5","3.8","39.7","44.9","61.8%","1.1","2.3","47.6","38.2%","0.4","1.4","26.9","2015-2016"
"705","Matthew Dellavedova","CLE","25","20","19","100%","1.3","3.5","37.1","42.9","58.6%","0.9","2.0","43.9","41.4%","0.4","1.4","27.6","2015-2016"
"706","Leandro Barbosa","GSW","33","23","20","100%","2.2","3.5","63.8","70.6","65.0%","1.7","2.3","76.9","35.0%","0.5","1.2","39.3","2015-2016"
"707","Ian Clark","GSW","25","16","14","100%","1.6","3.0","54.2","60.4","62.5%","1.3","1.9","66.7","37.5%","0.4","1.1","33.3","2015-2016"
"708","Andrew Goudelock","HOU","27","2","2","100%","1.5","3.0","50.0","50.0","83.3%","1.5","2.5","60.0","16.7%","0.0","0.5","0.0","2015-2016"
"709","PJ Hairston","MEM","23","2","2","100%","1.0","3.0","33.3","41.7","50.0%","0.5","1.5","33.3","50.0%","0.5","1.5","33.3","2015-2016"
"710","Tim Hardaway Jr.","ATL","24","9","6","100%","0.8","2.9","26.9","30.8","46.2%","0.6","1.3","41.7","53.8%","0.2","1.6","14.3","2015-2016"
"711","Iman Shumpert","CLE","26","21","20","100%","1.2","2.7","43.9","55.3","40.4%","0.6","1.1","52.2","59.6%","0.6","1.6","38.2","2015-2016"
"712","Jeremy Lamb","CHA","24","3","3","100%","1.7","2.7","62.5","68.8","87.5%","1.3","2.3","57.1","12.5%","0.3","0.3","100","2015-2016"
"713","KJ McDaniels","HOU","23","4","4","100%","1.0","2.5","40.0","45.0","70.0%","0.8","1.8","42.9","30.0%","0.3","0.8","33.3","2015-2016"
"714","Randy Foye","OKC","32","16","14","100%","0.9","2.5","35.0","45.0","35.0%","0.4","0.9","42.9","65.0%","0.5","1.6","30.8","2015-2016"
"715","Cameron Payne","OKC","21","10","6","100%","0.7","2.4","29.2","33.3","58.3%","0.5","1.4","35.7","41.7%","0.2","1.0","20.0","2015-2016"
"716","Wesley Johnson","LAC","28","6","5","100%","0.8","2.3","35.7","46.4","35.7%","0.3","0.8","40.0","64.3%","0.5","1.5","33.3","2015-2016"
"717","Ty Lawson","IND","28","7","7","100%","0.9","2.3","37.5","37.5","81.3%","0.9","1.9","46.2","18.8%","0.0","0.4","0.0","2015-2016"
"718","Tyler Johnson","MIA","24","5","5","100%","1.0","2.2","45.5","59.1","45.5%","0.4","1.0","40.0","54.5%","0.6","1.2","50.0","2015-2016"
"719","Mo Williams","CLE","33","13","10","100%","0.6","2.1","28.6","33.9","53.6%","0.4","1.1","33.3","46.4%","0.2","1.0","23.1","2015-2016"
"720","Jordan McRae","CLE","25","2","2","100%","2.0","2.0","100","112.5","75.0%","1.5","1.5","100","25.0%","0.5","0.5","100","2015-2016"
"721","Jonathon Simmons","SAS","26","3","2","100%","1.3","2.0","66.7","83.3","66.7%","0.7","1.3","50.0","33.3%","0.7","0.7","100","2015-2016"
"722","Dorell Wright","MIA","30","5","5","100%","1.0","1.8","55.6","66.7","44.4%","0.6","0.8","75.0","55.6%","0.4","1.0","40.0","2015-2016"
"723","Joe Young","IND","24","4","4","100%","0.8","1.8","42.9","50.0","42.9%","0.5","0.8","66.7","57.1%","0.3","1.0","25.0","2015-2016"
"724","Troy Daniels","CHA","24","4","3","100%","0.3","1.8","14.3","14.3","57.1%","0.3","1.0","25.0","42.9%","0.0","0.8","0.0","2015-2016"
"725","Anthony Morrow","OKC","30","14","10","100%","0.8","1.7","45.8","56.3","41.7%","0.4","0.7","60.0","58.3%","0.4","1.0","35.7","2015-2016"
"726","Lamar Patterson","ATL","24","4","3","100%","0.5","1.5","33.3","41.7","50.0%","0.3","0.8","33.3","50.0%","0.3","0.8","33.3","2015-2016"
"727","Brandon Rush","GSW","30","14","9","100%","0.6","1.4","45.0","55.0","40.0%","0.4","0.6","62.5","60.0%","0.3","0.9","33.3","2015-2016"
"728","RJ Hunter","BOS","22","5","4","100%","0.4","1.4","28.6","35.7","57.1%","0.2","0.8","25.0","42.9%","0.2","0.6","33.3","2015-2016"
