"","V1","V2","V3","V4","V5","Field Goals","Field Goals","Field Goals","Field Goals","Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","Season"
"1","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2021-2022"
"588","Domantas Sabonis","IND","22","7","7","100%","5.1","8.7","59.0","59.8","88.5%","5.0","7.7","64.8","11.5%","0.1","1.0","14.3","2017-2018"
"589","Thaddeus Young","IND","30","7","7","100%","5.1","8.6","60.0","61.7","88.3%","4.9","7.6","64.2","11.7%","0.3","1.0","28.6","2017-2018"
"590","Draymond Green","GSW","28","21","21","100%","4.0","8.6","46.1","51.9","56.1%","3.0","4.8","61.4","43.9%","1.0","3.8","26.6","2017-2018"
"591","JR Smith","CLE","32","22","22","100%","3.0","8.4","35.1","47.0","35.7%","0.9","3.0","31.8","64.3%","2.0","5.4","37.0","2017-2018"
"592","Kelly Olynyk","MIA","27","5","5","100%","4.2","8.4","50.0","59.5","54.8%","2.6","4.6","56.5","45.2%","1.6","3.8","42.1","2017-2018"
"593","Markieff Morris","WAS","28","6","6","100%","4.0","8.2","49.0","51.0","75.5%","3.7","6.2","59.5","24.5%","0.3","2.0","16.7","2017-2018"
"594","Jabari Parker","MIL","23","7","7","100%","4.0","8.1","49.1","54.4","66.7%","3.1","5.4","57.9","33.3%","0.9","2.7","31.6","2017-2018"
"595","Robert Covington","PHI","27","10","10","100%","2.7","8.1","33.3","42.6","40.7%","1.2","3.3","36.4","59.3%","1.5","4.8","31.3","2017-2018"
"596","Trevor Ariza","HOU","33","17","17","100%","2.9","7.9","37.3","47.0","32.1%","1.4","2.5","55.8","67.9%","1.5","5.3","28.6","2017-2018"
"597","James Johnson","MIA","31","5","5","100%","4.6","7.8","59.0","67.9","66.7%","3.2","5.2","61.5","33.3%","1.4","2.6","53.8","2017-2018"
"598","Ersan Ilyasova","PHI","31","10","10","100%","3.6","7.8","46.2","51.9","62.8%","2.7","4.9","55.1","37.2%","0.9","2.9","31.0","2017-2018"
"599","Justise Winslow","MIA","22","5","5","100%","3.0","7.8","38.5","47.4","51.3%","1.6","4.0","40.0","48.7%","1.4","3.8","36.8","2017-2018"
"600","Josh Richardson","MIA","24","5","5","100%","3.0","7.6","39.5","47.4","50.0%","1.8","3.8","47.4","50.0%","1.2","3.8","31.6","2017-2018"
"601","Kelly Oubre Jr.","WAS","22","6","6","100%","3.0","7.5","40.0","44.4","57.8%","2.3","4.3","53.8","42.2%","0.7","3.2","21.1","2017-2018"
